authors,title,System,year,publisher,type,abstract
"POJ Bwathondi, C Al, BS Msuku",Gillnet selectivity and diurnal feeding of L. niloticus (L.) in southern part of Lake Victoria (Tanzania),Freshwater,1984,NA,CITATION,NA
"POJ Bwathondi, APA Shoko, GC Mahika","Aquaculture potential of Kagera region, report to the Lake Victoria Environment Management Project (LVEMP), p 31",Freshwater,1998,NA,CITATION,NA
"POJ Bwathondi, MAK Ngoile, SM MOHAMED","Length-Weight relationship in Rastrelliger kanagurta (cuvier) and Siganus oramin (Bloch & Schneider, 1801)",Marine,1981,NA,CITATION,NA
POJ Bwathondi,The state of lake fisheries: Tanzania sector,Freshwater,1989,NA,CITATION,NA
POJ Bwathondi,The State of Fisheries Development in Tanzania: Problems and Prospects,,1991,NA,CITATION,NA
POJ Bwathondi,Preliminary investigation on rabbitfish,Marine,1982,NA,CITATION,NA
"POJ Bwathondi, AE Lyaruu",A report on the Emergency Water Hyacinth (Eichhornia crassipes) Control Programme in Lake Victoria (Tanzania Sector),Freshwater,1995,NA,CITATION,NA
"POJ Bwathondi, JJ Kulekana, GUJ Mwamsojo","Survey and monitoring of the fishery of Mindu Dam and man made lake in Morogoro, Tanzania",Freshwater,1991,NA,CITATION,NA
"B Abdulkarim, POJ Bwathondi, R Suleiman","M., 2017. A Study on the Amino Acid Profiles of Five Fresh Water Fishes Commonly Consumed in Tanzania",,NA,NA,CITATION,NA
POJ Bwathondi,"Infection of trout, Salmo trutta L., by Crepidostomum metoecus (Braun, 1900) in Loch of Strathbeg, NE Scotland.",Marine,1976,agris.fao.org,CITATION,"Infection of trout, Salmo trutta L., by Crepidostomum metoecus (Braun, 1900) in Loch of Strathbeg, NE Scotland. FAO_logo home-icon English Español Français العربية 中文 Русский …"
"POJ Bwathondi, GUJ Mwamsojo",The status of the ﬁshery resource in the wetlands of Tanzania,Freshwater,NA,portals.iucn.org,PDF,"The main types of wetlands in Tanzania are described as an introduction to a coverage of the ﬁsheries of the large lakes, the minor waters, the rivers and the intertidal ecosystems …"
POJ Bwathondi,The Prevailing Activities on the Lake Victoria Basin with Particular Reference to the Lake Fisheries: Proceedings of the Workshop Organized by the …,Freshwater,1990,Tanzania Fisheries Institute,CITATION,NA
POJ BWATHONDI,THE FUTURE OF FISHERIES DEVELOPMENT IN TANZANIA,,1996,Tema Pub Limited,CITATION,NA
"POJ Bwathondi, R Ogutu-Ohwayo, J Ogari",LAKE VICTORIA FISHERIES RESEARCH PROJECT PHASE II LVFRP/TECH/01/16,Freshwater,NA,NA,CITATION,NA
"R Mally, CG Malaika, POJ Bwathondi, E Mlaponi…",The Status and Management of Fish Ponds in Lake Victoria Basin-Tanzania: A resource survey report,Freshwater,2000,Tanzania Fisheries Research …,CITATION,NA
POJ Bwathondi,Africa's Fishery Resources Suitable for the IBS Model: a Case Study from Tanzania,,2000,University of Namibia,CITATION,NA
POJ BWATHONDI…,"ZANZIBAR, TANZANIA.",Marine,1978,"Faculty of Science, University of Dar …",CITATION,NA
"J Ogari, IG Cowx, POJ Bwathondi, K Crean…",Lake Victoria Fisheries Management Plan,Freshwater,2001,LVFO,CITATION,NA
POJ Bwathondi,"The Fishes and Fisheries Research in the Great Lakes of Africa, Tanzanian Sector.",Freshwater,2003,NA,CITATION,NA
"JR Mainoya, POJ Bwathondi, HB Pratap","Status and Problems of Marine Resources Development in Tanzania: Recommendations and Selected Papers from the Workshop on"" The Current State …",,1983,"… of Dar es Salaam, Department of …",CITATION,NA
"POJ Bwathondi, MAK Ngoile",Bivalves fouling floating cages in aquaculture. Short communication.,,1982,agris.fao.org,CITATION,Bivalves fouling floating cages in aquaculture. Short communication. FAO_logo home-icon English Español Français العربية 中文 Русский home-icon Translate with Google Access the …
"E Michel, JA Todd, SAE Marijnissen, CA Wagner…","The diversity of biodiversity: species, distributions, genetics and the conundrum of conservation of Tanganyikan endemics",,2006,NA,CITATION,NA
POJ BWATHONDI,SOME PRELIMINARY OBSERVATIONS ON THE EFFECT OF MOTOR OIL ON THE DEVELOPMENT AND FEEDING OF THE LARVAE OF THE MUD …,,1978,"Faculty of Science, University of Dar …",CITATION,NA
"AI Chande, YD Mgaya","The fishery of Portunus pelagicus and species diversity of portunid crabs along the Coast of Dar es Salaam, Tanzania",Marine,2003,ajol.info,NA,"Production, habitat preference and distribution of the blue swimming crab, Portunus pelagicus and the diversity of portunid crabs were studied along the Dar es Salaam …"
"AI Chande, YD Mgaya","Food Habits of the Blue Swimming Crab Portunus pelagicus along the Coast of Dar es Salaam, Tanzaniajpeg",Marine,2004,ajol.info,NA,"The food habits of the blue swimming crab Portunus pelagicus were investigated using the stomachs of 3948 crabs collected from Kunduchi sub-littoral shallow waters, Msasani Bay …"
"IA Kimirei, YD Mgaya…","Changes in species composition and abundance of commercially important pelagic fish species in Kigoma area, Lake Tanganyika, Tanzania",Freshwater,2008,read.dukeupress.edu,NA,The pelagic fishery of Lake Tanganyika provides employment to about 1 million consumers and protein to many more people living around the lake. It is mainly based on three …
"EA Sweke, JM Assam, T Matsuishi…",Fish diversity and abundance of Lake Tanganyika: Comparison between protected area (Mahale Mountains National Park) and unprotected areas,Freshwater,2013,downloads.hindawi.com,PDF,"High biodiversity is the most remarkable characteristic of Lake Tanganyika including vertebrates, invertebrates, and plants. A few protected areas have been created along the …"
"RK Waya, AI Chande",Species composition and biomass estimates of zooplankton in some water bodies within Lake Victoria basin,Freshwater,2004,ajol.info,NA,"Zooplankton communities were identified and their abundance and biomass estimated in some selected satellite lakes and Mara River in Lake Victoria basin, during wet and dry …"
"W Ligtvoet, AI Chande, O Mosille",A preliminary description of the artisanal Nile perch (Lates niloticus) fishery in southern Lake Victoria,Freshwater,1988,agris.fao.org,NA,The Food and Agriculture Organization (FAO) is a specialized agency of the United Nations that leads international efforts to defeat hunger. Our goal is to achieve food security for all …
"AI Chande, HA Mhitu","Fish species and size distribution and abundance in different areas in Lake Victoria, Tanzania",Freshwater,2005,ajol.info,NA,"The study was carried out to investigate fish species distribution and abundance in different areas and size structure variations according to depth in Lake Victoria, Tanzania. Data were …"
"EA Sweke, JM Assam, AI Chande…","Comparing the performance of protected and unprotected areas in conserving freshwater fish abundance and biodiversity in Lake Tanganyika, Tanzania",Freshwater,2016,hindawi.com,HTML,"Marine protected areas have been shown to conserve aquatic resources including fish, but few studies have been conducted of protected areas in freshwater environments. This is …"
"RJ Kayanda, AI Chande, YD Mgaya, E Mlaponi…",Stock assessment of commercial fish species of Lake Victoria,Freshwater,2017,Springer,NA,"Abstract The fishery of Lake Victoria is dominated by four major commercial species; the introduced Nile perch (Lates niloticus) and Nile tilapia (Oreochromis niloticus), native dagaa …"
"HA Mhitu, AI Chande","Diurnal feeding patterns and food habits of Lates Niloticus in the Speke Gulf, Lake Victoria",Freshwater,2004,ajol.info,NA,"Twenty four hour sampling sessions were conducted to investigate the feeding patterns and food habits of Lates niloticus in the Speke Gulf, Lake Victoria during January/February …"
"HA Mhitu, AI Chande","“Institute Headquarters, PO Box 9750, Dar es Salaam",,NA,NA,PDF,"Twenty four hour sampling sessions were conducted to investigate the feeding patterns and food habits of Lates niloticus in the Speke Gulf, Lake Victoria during January/February …"
AI Chande,"The Biology and fishery potential of the crab portunus pelagicus (Linnaeus, 1766) along the coast of Dar es Salaam.",Marine,2000,University of Dar es Salaam,CITATION,NA
"YD Mgaya, AI Chande","Changes in species composition and abundance of commercially important fish population in Kigoma Area, Lake Tanganyika, Tanzania",Freshwater,NA,NA,NA,The pelagic fishery of Lake Tanganyika provides employment to about 1 million consumers and protein to many more people living around the lake. It is mainly based on three …
"W Ligtvoet, AI Chande, O Mosille",APPENDIX G HEST CONTRIBUTIONS,,NA,NA,HTML,"Following the increase of the Nile perch (Lates niloticus) stock in Lake Victoria, an important artisanal Lates fishery developed. In the Mwanza area (southeast Lake Victoria), the Lates …"
"YD Mgaya, MHS Muruke, AI Chande, AK Semesi",Evaluation of crustacean resources in Bagamoyo District,Marine,1997,NA,CITATION,NA
AI Chande,"Mara River and Associated Wetland as a Refuge of Threatened Indigenous Tilapiines of Lake Victoria, Tanzania",Freshwater,2007,ajol.info,NA,"A study was carried out in Mara River and Lake Kirumi in January/February, 2005 to investigate the importance of the wetland as a refuge site for indigenous cichlids particularly …"
"AI Chande, YD Mgaya","Changes in species composition and abundance of commercially important fish population in Kigoma Area, Lake Tanganyika, Tanzania",Freshwater,2008,196.44.162.10,NA,The pelagic fishery of Lake Tanganyika provides employment to about 1 million consumers and protein to many more people living around the lake. It is mainly based on three …
"HA Mhitu, AI Chande, RK Waya, JA Mwambungu",Flow of food materials among fish communities in Lake Victoria,Freshwater,2004,repository.eac.int,NA,Trophic relationships for different fish communities interacting in Tanzania waters of Lake Victoria were investigated in order to understand the flow of materials among those …
"AI Chande, HA Mhitu","The role of reproductive strategies in recovery and success of selected fish species of Lake Victoria, Tanzania",Freshwater,2005,repository.eac.int,NA,"selection of mates, parental care, environmental conditions, clutch size, gonadal maturation and genetic differences in fitness. The present study which started in 1997 investigated …"
AI Chande,Post-harvest losses and insect infestation of fish in Tanzania,,1991,University of Dar es Salaam,CITATION,NA
"LB Nhwani, SP Mwaiko, AI Chande, GU Mwamsojo…",Crustacean resource assessment in Rufiji and by-catch studies of prawn trawlers,Marine,1993,NA,CITATION,NA
"AI Chande, GF Mtoka, HA Mhitu",Marine mammals and fisheries interactions in Tanzania. Tanzanian Fisheries Research Institute,Marine,1994,NA,CITATION,NA
"JH Wanink, W Ligtvoet, AI Chande, PC Goudswaard…",HEST/TAFIRI research in Lake Victoria: some preliminary results and their relevance for fishery management,,1988,NA,CITATION,NA
"N Sreeramulu, AI Chande","Chemical composition of some fodder grasses of the Dar es Salaam region, Tanzania",,1983,sidalc.net,NA,"1er. Resumen: Se analizaron 20 gramineas forrajeras de Tanzania, en cuanto a PC, FC, extracto etereo, hidratos de carbono y contenidos totales de ceniza, Na, K y Ca. Cynodon …"
"JM Daffa, AI Chande, MAK Ngoile, M Amaral",Coastal management in Tanzania,Marine,1997,NA,CITATION,NA
"AI Chande, GF Mtoka, HA Mhitu",Marine mammals and fisheries interactions in Tanzania,Marine,1994,NA,CITATION,NA
"AI Chande, AM Nikundiwe, J Kyomo","The status of the crab fishery at Mzinga creek, Dar es Salaam",Marine,1997,NA,CITATION,NA
AI Chande,Inventory of destructive activities affecting the aquatic environment: Mtwara region,Marine,1994,NA,CITATION,NA
"YD Mgaya, AI Chande","The Fishery of Portunus pelagicus and species diversity of Portunid crabs along the coast of Dar es Salaam, Tanzania",Marine,2004,NA,CITATION,NA
"AI Chande, GF Mtoka, HA Mhitu",Marine Mammals and Fisheries in Tanzania,Marine,1994,NA,CITATION,NA
"HA Mhitu, AI Chande","Food, feeding habits and trophic relationships of selected fish species in Tanzania waters of Lake Victoria",Freshwater,2003,NA,CITATION,NA
"AI Chande, AM Nikundiwe","Kyomo. 1999. The status of the crab fishery at Mzinga Creek, Dar es Salaam",Marine,NA,NA,CITATION,NA
"AI Chande, YD Mgaya","The Fishery of Portunus pelagicus and species diversity of portunid crabs along the Coast of Dar es Salaam, Tanzania. Western Indian Ocean Journal …",Marine,2003,NA,CITATION,NA
